"Municipality","Constituency","Party","Name","Name_hanja","Gender","Date_of_birth","Age","Address","Occupation","Education","Career","Votes","Votes_share","PR_Ranking","MRPR"
NA,NA,"국민의미래","진종오","秦鍾午","남","1979-09-24",44,"경기도 성남시 수정구 위례순환로","정당인","경남대학교 대학원 체육학과 체육학전공(석사)","(전)2024 강원동계청소년올림픽 조직위원장(현)국민체육진흥공단 이사",NA,NA,4,"PR"
NA,NA,"국민의미래","강선영","姜善榮","여","1966-09-24",57,"경기도 고양시 일산동구 노루목로","숙명여자대학교 석좌교수","국방대학교 국방전략학 석사","(전)육군항공작전사령관(육군소장)(현)숙명여자대학교 석좌교수",NA,NA,5,"PR"
NA,NA,"국민의미래","김건","金健","남","1966-10-10",57,"서울특별시 성동구 매봉길","정당인","서울대 정치학과 학사","(전)외교부한반도평화교섭본부장(전)주영국대사",NA,NA,6,"PR"
NA,NA,"국민의미래","김소희","金素熙","여","1973-09-16",50,"서울특별시 종로구 사직로8길","(재)기후변화센터 사무총장","서울대학교 대학원 지역정보전공 박사과정 수료","(현)(재)기후변화센터 사무총장(현)대통령 직속 탄소중립녹색성장위원회 위원",NA,NA,7,"PR"
NA,NA,"국민의미래","인요한","印曜翰","남","1959-12-08",64,"서울특별시 서대문구 연세로","교수","고려대학교 대학원 의학박사","(현)연세대학교 의과대학 교수(전)국민의힘 혁신위원장",NA,NA,8,"PR"
NA,NA,"국민의미래","김민전","金玟甸","여","1965-05-09",58,"서울특별시 성동구 금호로","경희대학교 교수","서울대학교 대학원 정치학석사","(현)대통령 직속 국민통합위원회 정치지역위원회 위원장(현)경희대학교 교수",NA,NA,9,"PR"
NA,NA,"국민의미래","김위상","金渭相","남","1959-11-24",64,"대구광역시 달서구 송현로7길","한국노총대구지역본부 의장","계명대학교 경영대학원 경영학석사","(현)한국노총대구지역본부 의장(현)한국노총 시ㆍ도지역본부의장단협의회장",NA,NA,10,"PR"
NA,NA,"국민의미래","한지아","韓智雅","여","1978-11-01",45,"서울특별시 서초구 서초중앙로","의사","가톨릭대학교 의학박사","(현)을지의과대학 교수(전)WHO 담당관(재활&고령화)",NA,NA,11,"PR"
NA,NA,"국민의미래","유용원","庾龍源","남","1964-03-10",60,"서울특별시 서초구 반포대로","육군본부 정책자문위원","서울대학교 경제학과 졸","(전)조선일보 군사전문기자(현)(사)한국국방안보포럼 기획조정실장",NA,NA,12,"PR"
NA,NA,"국민의미래","조배숙","趙培淑","여","1956-09-10",67,"전북특별자치도 익산시 동서로","변호사","서울대학교 대학원 법학과 졸업(법학석사)","(전)16ㆍ17ㆍ18ㆍ20대 국회의원(전)서울고등법원 판사",NA,NA,13,"PR"
NA,NA,"국민의미래","김장겸","金張謙","남","1961-05-08",62,"서울특별시 영등포구 여의대로6길","회사원","고려대학교 대학원 문학석사","(전)MBC 사장(현)공정언론국민연대 상임고문",NA,NA,14,"PR"
NA,NA,"국민의미래","김예지","金睿智","여","1980-12-13",43,"서울특별시 영등포구 여의대방로61길","국회의원","위스콘신대 매디슨 음악예술박사(2010.9.~2014.5)","(현)국회의원",NA,NA,15,"PR"
NA,NA,"국민의미래","안상훈","安祥薰","남","1969-05-15",54,"서울특별시 강남구 압구정로","서울대학교 교수","스웨덴웁살라대학교 사회학전공 박사학위(1996.12.18~2000.6.6)","(전)대통령실 사회수석(현)서울대학교 교수",NA,NA,16,"PR"
NA,NA,"국민의미래","이달희","李達姬","여","1962-02-09",62,"경상북도 예천군 호명읍 행복로","정당인","경북대학교 대학원 정치학 박사","(전)경상북도 경제부지사(전)여의도연구원 여의도아카데미 소장",NA,NA,17,"PR"
NA,NA,"국민의미래","박준태","朴俊泰","남","1981-02-24",43,"서울특별시 서초구 방배로","크라운랩스(주) 대표이사","고려대학교 법무대학원 법학 석사","(현)크라운랩스(주) 대표이사(전)제20대 대통령직인수위원회 기획위원",NA,NA,18,"PR"
NA,NA,"개혁신당","이주영","李妵鍈","여","1982-03-22",42,"서울특별시 송파구 올림픽로","의사","울산대학교 대학원(의학석사)","(전)순천향대학교 천안병원 임상부교수",NA,NA,1,"PR"
NA,NA,"개혁신당","천하람","千하람","남","1986-07-10",37,"전라남도 순천시 왕지5길","변호사","고려대학교 법학전문대학원 졸업(법학전문석사)","(전)개혁신당창당준비위원장",NA,NA,2,"PR"
NA,NA,"조국혁신당","박은정","朴恩貞","여","1972-01-15",52,"서울특별시 강남구 도곡로57길","정당인","이화여자대학교 법학과 졸업","(전)법무부 감찰담당관(전)수원지방검찰청 성남지청장",NA,NA,1,"PR"
NA,NA,"조국혁신당","조국","曺國","남","1965-04-06",59,"서울특별시 관악구 은천로","정치인","캘리포니아대학교 버클리캠퍼스 졸업 법학박사(1994.09~1997.12)","(전)법무부장관(전)대통령비서실 민정수석비서관",NA,NA,2,"PR"
NA,NA,"조국혁신당","이해민","李海珉","여","1973-07-02",50,"경기도 성남시 분당구 산운로32번길","정당인","서강대학교 대학원 컴퓨터공학과 졸업(공학석사)","(전)구글 시니어 프로덕트 매니저(전)오픈 서베이 최고제품책임자",NA,NA,3,"PR"
NA,NA,"조국혁신당","신장식","申莊植","남","1971-05-25",52,"경기도 고양시 덕양구 꽃내음1길","변호사","충북대학교 법학전문대학원 법학과 졸업 법학전문석사","(전)MBC라디오 신장식의 뉴스하이킥 진행자(현)변호사",NA,NA,4,"PR"
NA,NA,"조국혁신당","김선민","金宣旼","여","1964-05-24",59,"서울특별시 서초구 신반포로","의사","서울대학교 대학원 의학과 졸업(의학박사)","(전)건강보험심사평가원장(전)국가인권위원회 인권연구담당관",NA,NA,5,"PR"
NA,NA,"조국혁신당","김준형","金峻亨","남","1963-03-29",61,"서울특별시 마포구 독막로28길","외교학자","조지워싱턴대학교(철학박사) 1991.9~1997.5","(전)국립외교원장(전)한동대 교수",NA,NA,6,"PR"
NA,NA,"조국혁신당","김재원","金載原","여","1975-08-02",48,"서울특별시 은평구 갈현로","대중가수","고려대학교 대학원 문화콘텐츠학과 문학석사","(현)대중가수(현)바른음원협동조합 이사장",NA,NA,7,"PR"
NA,NA,"조국혁신당","황운하","黃雲夏","남","1962-09-10",61,"대전광역시 중구 계룡로","21대 국회의원","성균관대학교 대학원 법학과 졸업(박사)","(현)21대 국회의원(전)경찰청수사구조개혁단장",NA,NA,8,"PR"
NA,NA,"조국혁신당","정춘생","鄭春生","여","1969-04-25",54,"서울특별시 강서구 양천로67길","정치인","동국대학교 대학원 정치학과 졸업(정치학석사)","(전)문재인 대통령비서실 여성가족비서관(전)더불어민주당 공보국장",NA,NA,9,"PR"
NA,NA,"조국혁신당","차규근","車圭根","남","1968-04-11",56,"서울특별시 서초구 서초중앙로","정당인","서울대학교 대학원 법학과 수료(석사과정)","(전)법무부 출입국외국인 정책본부장(전)법무부 국적난민과장",NA,NA,10,"PR"
NA,NA,"조국혁신당","강경숙","姜景淑","여","1967-05-02",56,"서울특별시 은평구 은평로","교수","이화여자대학교 대학원 특수교육학 박사","(현)원광대학교 중등특수교육과 교수(전)대통령직속 국가교육회의 1기 본회의 위원",NA,NA,11,"PR"
NA,NA,"조국혁신당","서왕진","徐旺鎭","남","1964-11-25",59,"경기도 고양시 덕양구 지정로","교수","미기재","(현)조국혁신당 정책위의장(전)서울연구원장",NA,NA,12,"PR"
