"Municipality","Constituency","Party_No","Name","Name_hanja","Gender","Female_dm","Male_dm","Party","Date_of_birth","Age","Address","Occupation","Education","Career","Votes","Votes_share","Win_dm"
"경기도","안양시동안구을","1","이재정","李在汀","여",1,0,"더불어민주당","1974-08-02",49,"경기도 안양시 동안구 경수대로","국회의원","경북대학교 법과대학 사법학과 졸업","(현)제20대, 제21대 재선 국회의원(현)국회 산업통상자원중소벤처기업위원회 위원장",52248,53.86,1
"경기도","안양시동안구을","2","심재철","沈在哲","남",0,1,"국민의힘","1958-01-18",66,"경기도 안양시 동안구 경수대로","정당인","서울대학교 사범대학 외국어교육학과(영어전공) 졸업","(전)국회부의장(전)1980년 서울대 총학생회장",44751,46.13,0
"경기도","부천시갑","1","서영석","徐暎錫","남",0,1,"더불어민주당","1964-09-16",59,"경기도 부천시 오정구 길주로573번길","국회의원","성균관대학교 약학대학 약학과 졸업","(현) 국회의원(현) 더불어민주당 정책위원회 상임부의장 ",85815,61.13,1
"경기도","부천시갑","2","김복덕","金福德","남",0,1,"국민의힘","1965-01-09",59,"경기도 부천시 원미구 소향로","정당인","경희대학교 테크노경영대학원 글로벌경영학과 졸업(경영학 석사)","(전)(주)소룩스 대표이사(현)국민의힘 중앙당 재정위원회 수석부위원장",54556,38.86,0
"경기도","부천시을","1","김기표","金起杓","남",0,1,"더불어민주당","1972-12-07",51,"경기도 부천시 조마루로","변호사(법무법인(유) 한빛 대표변호사)","서울대학교 법과대학 공법학과 졸업","(전)청와대 민정수석실 비서관(전)대검찰청 검찰연구관",82475,55.9,1
"경기도","부천시을","2","박성중","朴成重","남",0,1,"국민의힘","1958-08-01",65,"경기도 부천시 원미구 조마루로","국회의원","성균관대학교 대학원 졸업(도시행정전공, 행정학박사)","(현)제20대, 제21대 재선 국회의원(전)제20대 대통령직인수위원회 과학기술교육분과 간사",55975,37.93,0
"경기도","부천시을","6","설훈","薛勳","남",0,1,"새로운미래","1953-04-23",70,"경기도 부천시 원미구 중동로","국회의원","고려대학교 사학과 졸업","(전)더불어민주당 최고위원(현)부천시을 국회의원",9087,6.15,0
"경기도","부천시병","1","이건태","李建泰","남",0,1,"더불어민주당","1966-12-21",57,"경기도 부천시 소사구 범안로","변호사","고려대학교 법학과 졸업","(현) 더불어민주당 당대표 특별보좌역(전) 의정부지방검찰청 고양지청장",84886,54.44,1
"경기도","부천시병","2","하종대","河宗大","남",0,1,"국민의힘","1965-03-05",59,"경기도 부천시 소사구 심곡로34번길","정당인","서울대학교 언론정보학과 졸업","(전) 채널A 쾌도난마 앵커(전) 동아일보 논설위원",59312,38.04,0
"경기도","부천시병","6","장덕천","張德天","남",0,1,"새로운미래","1965-11-28",58,"경기도 부천시 원미구 장말로","변호사","서울대학교 정치학과 졸업","(전) 부천시장(현) 새로운미래 당규제정특별위원장",11720,7.51,0
